거래일자	종목명	거래수량	거래금액	거래세/농특세	정산금액	미수변제	예수금	대출상환금	담보대출상환금	매도담보상환금	신용거래구분(Hide)	세금합계	대출일	매체구분
	거래종류	거래단가	수수료	소득세/주민세	미수발생	연체변제	유가잔고	신용/대출이자	신용이자	매도담보상환이자	적요명(Hide)		상환차금	처리시간
2014-02-12	쎌바이오텍	10	"226,000"				"995,128"				보통매매			영웅문S
	보통매매  KOSDAQ매수	"22,600.00"					940				KOSDAQ매수			0:39:50
2014-02-12	쎌바이오텍	10	"226,500"				"995,128"				보통매매			영웅문S
	보통매매  KOSDAQ매수	"22,650.00"					950				KOSDAQ매수			0:39:50
2014-02-12	쎌바이오텍	10	"227,000"		"679,600"		"315,528"				보통매매			영웅문S
	보통매매  KOSDAQ매수	"22,700.00"	100				960				KOSDAQ매수			0:39:51
2014-02-14	삼성SDI우	10	"700,000"	"2,100"	"697,800"		"1,013,328"				보통매매			영웅문S
	보통매매  장내매도	"70,000.00"	100				180				장내매도			0:39:19
2014-02-14	쎌바이오텍	20	"453,000"				"1,013,328"				보통매매			영웅문S
	보통매매  KOSDAQ매수	"22,650.00"					980				KOSDAQ매수			0:39:19
2014-02-14	쎌바이오텍	10	"227,000"				"1,013,328"				보통매매			영웅문S
	보통매매  KOSDAQ매수	"22,700.00"					990				KOSDAQ매수			0:39:19
2014-02-14	쎌바이오텍	10	"227,500"		"907,630"		"105,698"				보통매매			영웅문S
	보통매매  KOSDAQ매수	"22,750.00"	130				"1,000"				KOSDAQ매수			0:39:19
2014-02-17	LG생활건강	1	"468,000"				"105,698"				보통매매			영웅문S
	보통매매  장내매도	"468,000.00"					24				장내매도			0:36:50
2014-02-17	LG생활건강	1	"468,500"				"105,698"				보통매매			영웅문S
	보통매매  장내매도	"468,500.00"					23				장내매도			0:36:50
2014-02-17	LG생활건강	1	"469,000"				"105,698"				보통매매			영웅문S
	보통매매  장내매도	"469,000.00"					22				장내매도			0:36:50
2014-02-17	LG생활건강	1	"469,500"	"5,622"	"1,869,098"		"1,974,796"				보통매매			영웅문S
	보통매매  장내매도	"469,500.00"	280				21				장내매도			0:36:50
2014-02-18	삼성SDI우	10	"730,000"				"1,974,796"				보통매매			영웅문S
	보통매매  장내매도	"73,000.00"					170				장내매도			0:39:50
2014-02-18	삼성SDI우	10	"732,000"	"4,384"	"1,457,406"		"3,432,202"				보통매매			영웅문S
	보통매매  장내매도	"73,200.00"	210				160				장내매도			0:39:50
2014-02-18	쎌바이오텍	40	"908,000"				"3,432,202"				보통매매			영웅문S
	보통매매  KOSDAQ매수	"22,700.00"					"1,040"				KOSDAQ매수			0:39:50
2014-02-18	쎌바이오텍	30	"682,500"				"3,432,202"				보통매매			영웅문S
	보통매매  KOSDAQ매수	"22,750.00"					"1,070"				KOSDAQ매수			0:39:50
2014-02-18	쎌바이오텍	20	"456,000"				"3,432,202"				보통매매			영웅문S
	보통매매  KOSDAQ매수	"22,800.00"					"1,090"				KOSDAQ매수			0:39:50
2014-02-18	쎌바이오텍	30	"685,500"		"2,732,400"		"699,802"				보통매매			영웅문S
	보통매매  KOSDAQ매수	"22,850.00"	400				"1,120"				KOSDAQ매수			0:39:50
2014-02-19	삼성SDI우	10	"735,000"				"699,802"				보통매매			영웅문S
	보통매매  장내매도	"73,500.00"					150				장내매도			0:39:50
2014-02-19	삼성SDI우	10	"736,000"	"4,412"	"1,466,368"		"2,166,170"				보통매매			영웅문S
	보통매매  장내매도	"73,600.00"	220				140				장내매도			0:39:50
2014-02-21	아모레G	2	"968,000"	"2,904"	"964,956"		"3,131,126"				보통매매			영웅문S
	보통매매  장내매도	"484,000.00"	140				0				장내매도			0:39:58
2014-02-21	현대모비스	5	"1,502,500"	"4,506"	"1,497,774"		"4,628,900"				보통매매			영웅문S
	보통매매  장내매도	"300,500.00"	220				0				장내매도			0:39:58
2014-02-21	LG생활건강	3	"1,351,500"				"4,628,900"				보통매매			영웅문S
	보통매매  장내매도	"450,500.00"					18				장내매도			0:39:58
2014-02-21	LG생활건강	2	"906,000"				"4,628,900"				보통매매			영웅문S
	보통매매  장내매도	"453,000.00"					16				장내매도			0:39:58
2014-02-21	LG생활건강	2	"907,000"	"9,492"	"3,154,538"		"7,783,438"				보통매매			영웅문S
	보통매매  장내매도	"453,500.00"	470				14				장내매도			0:39:58
2014-02-21	쎌바이오텍	10	"223,500"				"7,783,438"				보통매매			영웅문S
	보통매매  KOSDAQ매수	"22,350.00"					"1,130"				KOSDAQ매수			0:39:58
2014-02-21	쎌바이오텍	10	"224,000"				"7,783,438"				보통매매			영웅문S
	보통매매  KOSDAQ매수	"22,400.00"					"1,140"				KOSDAQ매수			0:39:58
2014-02-21	쎌바이오텍	5	"112,250"				"7,783,438"				보통매매			영웅문S
	보통매매  KOSDAQ매수	"22,450.00"					"1,145"				KOSDAQ매수			0:39:58
2014-02-21	쎌바이오텍	5	"112,500"		"672,350"		"7,111,088"				보통매매			영웅문S
	보통매매  KOSDAQ매수	"22,500.00"	100				"1,150"				KOSDAQ매수			0:39:58
2014-02-21	NAVER	1	"744,000"		"744,110"		"6,366,978"				보통매매			영웅문S
	보통매매  장내매수	"744,000.00"	110				97				장내매수			0:39:58
2014-02-26	경동나비엔	10	"182,000"		"182,020"		"6,184,958"				보통매매			영웅문S
	보통매매  장내매수	"18,200.00"	20				910				장내매수			0:40:36
2014-02-26	한국전력	10	"364,000"		"364,050"		"5,820,908"				보통매매			영웅문S
	보통매매  장내매수	"36,400.00"	50				10				장내매수			0:40:36
2014-02-26	NAVER	1	"682,000"				"5,820,908"				보통매매			영웅문S
	보통매매  장내매수	"682,000.00"					98				장내매수			0:40:36
2014-02-26	NAVER	1	"683,000"				"5,820,908"				보통매매			영웅문S
	보통매매  장내매수	"683,000.00"					99				장내매수			0:40:36
2014-02-26	NAVER	1	"684,000"		"2,049,300"		"3,771,608"				보통매매			영웅문S
	보통매매  장내매수	"684,000.00"	300				100				장내매수			0:40:36
2014-02-28	CJE&M	1	"37,250"				"3,771,608"				보통매매			영웅문S
	보통매매  KOSDAQ매수	"37,250.00"					1				KOSDAQ매수			0:40:37
2014-02-28	CJE&M	4	"149,200"				"3,771,608"				보통매매			영웅문S
	보통매매  KOSDAQ매수	"37,300.00"					5				KOSDAQ매수			0:40:38
2014-02-28	CJE&M	6	"224,100"				"3,771,608"				보통매매			영웅문S
	보통매매  KOSDAQ매수	"37,350.00"					11				KOSDAQ매수			0:40:38
2014-02-28	CJE&M	5	"187,000"				"3,771,608"				보통매매			영웅문S
	보통매매  KOSDAQ매수	"37,400.00"					16				KOSDAQ매수			0:40:38
2014-02-28	CJE&M	4	"149,800"		"747,460"		"3,024,148"				보통매매			영웅문S
