거래일자	종목명	거래수량	거래금액	거래세/농특세	정산금액	미수변제	예수금	대출상환금	대출일	매체구분
	거래종류	거래단가	수수료	소득세/주민세	미수발생	연체변제	유가잔고	신용/대출이자	상환차금	처리시간
2014-07-28	경동나비엔	25	"665,000"				"14,117,594"			영웅문S(2015)
	보통매매 장내매수	"26,600.00"					"1,555"			0:38:40
2014-07-28	경동나비엔	15	"399,750"				"14,117,594"			영웅문S(2015)
	보통매매 장내매수	"26,650.00"					"1,570"			0:38:40
2014-07-28	경동나비엔	10	"267,000"				"14,117,594"			영웅문S(2015)
	보통매매 장내매수	"26,700.00"					"1,580"			0:38:40
2014-07-28	경동나비엔	20	"535,000"		"2,132,560"		"11,985,034"			영웅문S(2015)
	보통매매 장내매수	"26,750.00"	310				"1,600"			0:38:40
2014-07-29	경동나비엔	10	"262,500"				"4,995,490"			영웅문S(2015)
	보통매매 장내매수	"26,250.00"					"1,610"			0:40:53
2014-07-29	경동나비엔	10	"264,000"				"4,995,490"			영웅문S(2015)
	보통매매 장내매수	"26,400.00"					"1,620"			0:40:53
2014-07-29	경동나비엔	10	"264,500"				"4,995,490"			영웅문S(2015)
	보통매매 장내매수	"26,450.00"					"1,630"			0:40:53
2014-07-29	경동나비엔	10	"265,000"				"4,995,490"			영웅문S(2015)
	보통매매 장내매수	"26,500.00"					"1,640"			0:40:53
2014-07-29	경동나비엔	20	"531,000"				"4,995,490"			영웅문S(2015)
	보통매매 장내매수	"26,550.00"					"1,660"			0:40:53
2014-07-29	경동나비엔	10	"266,000"		"1,853,270"		"3,142,220"			영웅문S(2015)
	보통매매 장내매수	"26,600.00"	270				"1,670"			0:40:53
2014-07-30	경동나비엔	20	"551,000"				"19,785,349"			영웅문S(2015)
	보통매매 장내매수	"27,550.00"					"1,690"			0:40:39
2014-07-30	경동나비엔	10	"277,500"				"19,785,349"			영웅문S(2015)
	보통매매 장내매수	"27,750.00"					"1,700"			0:40:39
2014-07-30	경동나비엔	10	"278,000"				"19,785,349"			영웅문S(2015)
	보통매매 장내매수	"27,800.00"					"1,710"			0:40:39
2014-07-30	경동나비엔	10	"279,000"				"19,785,349"			영웅문S(2015)
	보통매매 장내매수	"27,900.00"					"1,720"			0:40:39
2014-07-30	경동나비엔	20	"559,000"				"19,785,349"			영웅문S(2015)
	보통매매 장내매수	"27,950.00"					"1,740"			0:40:39
2014-07-30	경동나비엔	20	"560,000"				"19,785,349"			영웅문S(2015)
	보통매매 장내매수	"28,000.00"					"1,760"			0:40:39
2014-07-30	경동나비엔	30	"841,500"				"19,785,349"			영웅문S(2015)
	보통매매 장내매수	"28,050.00"					"1,790"			0:40:39
2014-07-30	경동나비엔	10	"281,000"				"19,785,349"			영웅문S(2015)
	보통매매 장내매수	"28,100.00"					"1,800"			0:40:39
2014-07-30	경동나비엔	10	"283,000"				"19,785,349"			영웅문S(2015)
	보통매매 장내매수	"28,300.00"					"1,810"			0:40:39
2014-07-30	경동나비엔	10	"283,500"				"19,785,349"			영웅문S(2015)
	보통매매 장내매수	"28,350.00"					"1,820"			0:40:39
2014-07-30	경동나비엔	10	"284,000"				"19,785,349"			영웅문S(2015)
	보통매매 장내매수	"28,400.00"					"1,830"			0:40:39
2014-07-30	경동나비엔	10	"284,500"				"19,785,349"			영웅문S(2015)
	보통매매 장내매수	"28,450.00"					"1,840"			0:40:39
2014-07-30	경동나비엔	10	"285,000"				"19,785,349"			영웅문S(2015)
	보통매매 장내매수	"28,500.00"					"1,850"			0:40:39
2014-07-30	경동나비엔	10	"285,500"		"5,333,290"		"14,452,059"			영웅문S(2015)
	보통매매 장내매수	"28,550.00"	790				"1,860"			0:40:39
2014-07-31	경동나비엔	20	"551,000"				"57,180,977"			영웅문3
	보통매매 장내매수	"27,550.00"					"1,880"			0:40:25
2014-07-31	경동나비엔	10	"276,000"				"57,180,977"			영웅문3
	보통매매 장내매수	"27,600.00"					"1,890"			0:40:25
2014-07-31	경동나비엔	10	"276,500"				"57,180,977"			영웅문3
	보통매매 장내매수	"27,650.00"					"1,900"			0:40:25
2014-07-31	경동나비엔	10	"277,000"				"57,180,977"			영웅문3
	보통매매 장내매수	"27,700.00"					"1,910"			0:40:25
2014-07-31	경동나비엔	10	"277,500"		"1,658,240"		"55,522,737"			영웅문3
	보통매매 장내매수	"27,750.00"	240				"1,920"			0:40:25
2014-07-31	경동나비엔	10	"274,500"				"55,522,737"			영웅문S(2015)
	보통매매 장내매수	"27,450.00"					"1,930"			0:40:25
2014-07-31	경동나비엔	10	"276,000"		"550,580"		"54,972,157"			영웅문S(2015)
	보통매매 장내매수	"27,600.00"	80				"1,940"			0:40:25
2014-08-01	경동나비엔	20	"537,000"				"61,289,209"			영웅문3
	보통매매 장내매수	"26,850.00"					"1,960"			1:04:23
2014-08-01	경동나비엔	40	"1,076,000"		"1,613,240"		"59,675,969"			영웅문3
	보통매매 장내매수	"26,900.00"	240				"2,000"			1:04:23
2014-08-04	경동나비엔	10	"275,500"		"275,540"		"67,320,904"			영웅문3
	보통매매 장내매수	"27,550.00"	40				"2,010"			0:36:54
2014-08-04	경동나비엔	40	"1,078,000"				"67,320,904"			영웅문S(2015)
	보통매매 장내매수	"26,950.00"					"2,050"			0:36:55
2014-08-04	경동나비엔	20	"540,000"				"67,320,904"			영웅문S(2015)
	보통매매 장내매수	"27,000.00"					"2,070"			0:36:55
2014-08-04	경동나비엔	10	"270,500"				"67,320,904"			영웅문S(2015)
	보통매매 장내매수	"27,050.00"					"2,080"			0:36:55
2014-08-04	경동나비엔	20	"542,000"				"67,320,904"			영웅문S(2015)
	보통매매 장내매수	"27,100.00"					"2,100"			0:36:55
2014-08-04	경동나비엔	10	"271,500"		"2,702,400"		"64,618,504"			영웅문S(2015)
	보통매매 장내매수	"27,150.00"	400				"2,110"			0:36:55
2014-08-08	경동나비엔	20	"558,000"				"67,091,244"			영웅문3
	보통매매 장내매수	"27,900.00"					"2,130"			0:39:10
2014-08-08	경동나비엔	20	"559,000"				"67,091,244"			영웅문3
	보통매매 장내매수	"27,950.00"					"2,150"			0:39:10
2014-08-08	경동나비엔	20	"560,000"		"1,677,250"		"65,413,994"			영웅문3
	보통매매 장내매수	"28,000.00"	250				"2,170"			0:39:10
2014-08-11	경동나비엔	30	"816,000"				"61,626,934"			영웅문3
	보통매매 장내매수	"27,200.00"					"2,200"			0:37:18
2014-08-11	경동나비엔	20	"545,000"				"61,626,934"			영웅문3
	보통매매 장내매수	"27,250.00"					"2,220"			0:37:18
2014-08-11	경동나비엔	20	"554,000"				"61,626,934"			영웅문3
	보통매매 장내매수	"27,700.00"					"2,240"			0:37:18
2014-08-11	경동나비엔	20	"555,000"				"61,626,934"			영웅문3
	보통매매 장내매수	"27,750.00"					"2,260"			0:37:18
2014-08-11	경동나비엔	20	"556,000"				"61,626,934"			영웅문3
	보통매매 장내매수	"27,800.00"					"2,280"			0:37:18
2014-08-11	경동나비엔	20	"557,000"		"3,583,530"		"58,043,404"			영웅문3
	보통매매 장내매수	"27,850.00"	530				"2,300"			0:37:18
2014-08-22	경동나비엔	10	"300,500"				"53,639,288"			영웅문S(2015)
	보통매매 장내매수	"30,050.00"					"2,310"			0:40:26
2014-08-22	경동나비엔	10	"301,000"				"53,639,288"			영웅문S(2015)
	보통매매 장내매수	"30,100.00"					"2,320"			0:40:26
2014-08-22	경동나비엔	10	"301,500"				"53,639,288"			영웅문S(2015)
	보통매매 장내매수	"30,150.00"					"2,330"			0:40:26
2014-08-22	경동나비엔	10	"302,000"				"53,639,288"			영웅문S(2015)
	보통매매 장내매수	"30,200.00"					"2,340"			0:40:26
2014-08-22	경동나비엔	10	"302,500"				"53,639,288"			영웅문S(2015)
	보통매매 장내매수	"30,250.00"					"2,350"			0:40:26
2014-08-22	경동나비엔	10	"303,000"				"53,639,288"			영웅문S(2015)
	보통매매 장내매수	"30,300.00"					"2,360"			0:40:26
2014-08-22	경동나비엔	10	"303,500"				"53,639,288"			영웅문S(2015)
	보통매매 장내매수	"30,350.00"					"2,370"			0:40:26
2014-08-22	경동나비엔	10	"304,000"		"2,418,360"		"51,220,928"			영웅문S(2015)
	보통매매 장내매수	"30,400.00"	360				"2,380"			0:40:26
2014-08-27	경동나비엔	10	"298,500"				"57,340,914"			영웅문S(2015)
	보통매매 장내매수	"29,850.00"					"2,390"			0:40:35
2014-08-27	경동나비엔	5	"149,500"				"57,340,914"			영웅문S(2015)
